id,created_at,updated_at,url,name,user_id,rank,totalRanks,searchRank,title,image_url,description
967,"2017-05-17 17:38:16","2017-05-17 17:38:16",https://www.coursera.org/learn/game-theory-2,"Game Theory II: Advanced Applications | Coursera",2,0.00,0,0.00,"Game Theory II: Advanced Applications | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/67/ef4789d61233d2cb2c81b6fa27f11d/large-icon.png,"Game Theory II: Advanced Applications from Stanford University, The University of British Columbia. Popularized by movies such as ""A Beautiful Mind"", game theory is the mathematical modelin.."
965,"2017-05-17 17:37:13","2017-05-17 17:37:13",https://www.coursera.org/learn/critical-thinking-skills,"Critical Thinking Skills for University Success | Coursera",2,0.00,0,0.00,"Critical Thinking Skills for University Success | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/47/0f87d01bcb11e6bf6a61354a153eb5/4.-MOOC-Image.jpg,"Critical Thinking Skills for University Success from The University of Sydney. In this course, you will learn how to develop your Critical Thinking Skills to help you achieve success in you.."
964,"2017-05-17 17:37:01","2017-05-17 17:37:01",https://www.coursera.org/learn/thomas-berry,"The Worldview of Thomas Berry:  The Flourishing of the Earth Community | Coursera",2,0.00,0,0.00,"The Worldview of Thomas Berry:  The Flourishing of the Earth Community | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/95/60d420f84d11e6ae5c7dee5f03d7ca/Logo_JOTU3_The-Worldview-of-Thomas-Berry-The-Flourishing-of-the-Earth-Community.png,"The Worldview of Thomas Berry:  The Flourishing of the Earth Community from Yale University. Thomas Berry (1914-2009) was a historian of world religions and an early voice awakening moral s.."
963,"2017-05-17 17:36:57","2017-05-17 17:36:57",https://www.coursera.org/learn/journey-knowledge-action,"Journey Conversations: Weaving Knowledge and Action | Coursera",2,0.00,0,0.00,"Journey Conversations: Weaving Knowledge and Action | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/94/529ab0c6c411e68f034902469b6f43/Logo_JOTU2_Journey-Conversations--Weaving-Knowledge-and-Action.png,"Journey Conversations: Weaving Knowledge and Action from Yale University. Journey of the Universe weaves together the discoveries of the evolutionary sciences together with humanities such .."
962,"2017-05-17 17:36:49","2017-05-17 17:36:49",https://www.coursera.org/learn/philosophy-physical-sciences,"Philosophy and the Sciences: Introduction to the Philosophy of Physical Sciences | Coursera",2,0.00,0,0.00,"Philosophy and the Sciences: Introduction to the Philosophy of Physical Sciences | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/cf/0e6f355ee930b55faf574d1d89a990/iStock_000018892265XSmall.jpeg,"Philosophy and the Sciences: Introduction to the Philosophy of Physical Sciences from The University of Edinburgh. What is the origin of our universe? What are dark matter and dark energy? .."
961,"2017-05-17 17:36:20","2017-05-17 17:36:20",https://www.coursera.org/learn/plato-dialogues,"Reason and Persuasion: Thinking Through Three Dialogues By Plato | Coursera",2,0.00,0,0.00,"Reason and Persuasion: Thinking Through Three Dialogues By Plato | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/2e/abd27b5ded8b660d20c3ae79c1a4d5/courselogo.jpg,"Reason and Persuasion: Thinking Through Three Dialogues By Plato from National University of Singapore. In this course we study the ancient, Socratic art of blowing up your beliefs as you g.."
960,"2017-05-17 17:36:17","2017-05-17 17:36:17",https://www.coursera.org/learn/critical-reasoning,"Reasoning Across the Disciplines | Coursera",2,0.00,0,0.00,"Reasoning Across the Disciplines | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/ed/682c407c1a11e69dc8495519458e97/The_Thinker_Rodin-square.jpg,"Reasoning Across the Disciplines from The University of North Carolina at Chapel Hill. Critical reasoning skills are a key success factor for students entering their first year of college. .."
959,"2017-05-17 17:36:14","2017-05-17 17:36:14",https://www.coursera.org/learn/understanding-arguments,"Think Again I: How to Understand Arguments | Coursera",2,0.00,0,0.00,"Think Again I: How to Understand Arguments | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/topics/thinkagain/large-icon.png,"Think Again I: How to Understand Arguments from Duke University. How to Understand Arguments  Think Again: How to Reason and Argue Reasoning is important. This series of four short courses .."
958,"2017-05-17 17:36:05","2017-05-17 17:36:05",https://www.coursera.org/learn/logical-fallacies,"Think Again IV: How to Avoid Fallacies | Coursera",2,0.00,0,0.00,"Think Again IV: How to Avoid Fallacies | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/topics/thinkagain/large-icon.png,"Think Again IV: How to Avoid Fallacies from Duke University. How to Avoid Fallacies  Think Again: How to Reason and Argue Reasoning is important. This series of four short courses will teac.."
957,"2017-05-17 17:36:02","2017-05-17 17:36:02",https://www.coursera.org/learn/philosophy-cognitive-sciences,"Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences | Coursera",2,0.00,0,0.00,"Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences | Coursera",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/cf/0e6f355ee930b55faf574d1d89a990/iStock_000018892265XSmall.jpeg,"Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences from The University of Edinburgh. Course Description  What is our role in the universe as human agents capa.."
